,median,mean,variance,max,min,year
2853,,,,,,1986
2854,,,,,,1986
2855,,,,,,1986
2856,,,,,,1986
2857,,,,,,1986
2858,,,,,,1986
2859,,,,,,1986
2860,,,,,,1986
2861,,,,,,1986
2862,,,,,,1986
2863,,,,,,1986
2864,,,,,,1986
2865,,,,,,1986
2866,,,,,,1986
2867,,,,,,1986
2868,,,,,,1986
2869,,,,,,1986
2870,,,,,,1986
2871,,,,,,1986
2872,,,,,,1986
2873,,,,,,1986
2874,,,,,,1986
2875,,,,,,1986
2876,,,,,,1986
2877,,,,,,1986
2878,,,,,,1986
2879,,,,,,1986
2880,,,,,,1987
2881,,,,,,1987
2882,,,,,,1987
2883,,,,,,1987
2884,,,,,,1987
2885,,,,,,1987
2886,,,,,,1987
2887,,,,,,1987
2888,,,,,,1987
2889,,,,,,1987
2890,,,,,,1987
2891,,,,,,1987
2892,,,,,,1987
2893,,,,,,1987
2894,,,,,,1987
2895,,,,,,1987
2896,,,,,,1987
2897,,,,,,1987
2898,,,,,,1987
2899,,,,,,1987
2900,,,,,,1987
2901,,,,,,1987
2902,,,,,,1987
2903,,,,,,1987
2904,,,,,,1987
2905,,,,,,1987
2906,,,,,,1987
2907,,,,,,1987
2908,,,,,,1987
2909,,,,,,1987
2910,,,,,,1987
2911,,,,,,1987
2912,,,,,,1987
2913,,,,,,1987
2914,,,,,,1987
2915,,,,,,1987
2916,,,,,,1987
2917,,,,,,1987
2918,,,,,,1987
2919,,,,,,1987
2920,,,,,,1987
2921,,,,,,1987
2922,,,,,,1987
2923,,,,,,1987
2924,,,,,,1987
2925,,,,,,1987
2926,,,,,,1987
2927,,,,,,1987
2928,,,,,,1987
2929,,,,,,1987
2930,,,,,,1987
2931,,,,,,1987
2932,,,,,,1987
2933,,,,,,1987
2934,,,,,,1987
2935,,,,,,1987
2936,,,,,,1987
2937,,,,,,1987
2938,,,,,,1987
2939,,,,,,1987
2940,,,,,,1987
2941,,,,,,1987
2942,,,,,,1987
2943,,,,,,1987
2944,,,,,,1987
2945,,,,,,1987
2946,,,,,,1987
2947,,,,,,1987
2948,,,,,,1987
2949,,,,,,1987
2950,,,,,,1987
2951,,,,,,1987
2952,,,,,,1987
2953,,,,,,1987
2954,,,,,,1987
2955,,,,,,1987
2956,,,,,,1987
2957,,,,,,1987
2958,,,,,,1987
2959,,,,,,1987
2960,,,,,,1987
2961,,,,,,1987
2962,,,,,,1987
2963,,,,,,1987
2964,,,,,,1987
2965,,,,,,1987
2966,,,,,,1987
2967,,,,,,1987
2968,,,,,,1987
2969,,,,,,1987
2970,,,,,,1988
2971,,,,,,1988
2972,,,,,,1988
2973,,,,,,1988
2974,,,,,,1988
2975,,,,,,1988
2976,,,,,,1988
2977,,,,,,1988
2978,,,,,,1988
2979,,,,,,1988
2980,,,,,,1988
2981,,,,,,1988
2982,,,,,,1988
2983,,,,,,1988
2984,,,,,,1988
2985,,,,,,1988
2986,,,,,,1988
2987,,,,,,1988
2988,,,,,,1988
2989,,,,,,1988
2990,,,,,,1988
2991,,,,,,1988
2992,,,,,,1988
2993,,,,,,1988
2994,,,,,,1988
2995,,,,,,1988
2996,,,,,,1988
2997,,,,,,1988
2998,,,,,,1988
2999,,,,,,1988
3000,,,,,,1988
3001,,,,,,1988
3002,,,,,,1988
3003,,,,,,1988
3004,,,,,,1988
3005,,,,,,1988
3006,,,,,,1988
3007,,,,,,1988
3008,,,,,,1988
